party,question,answer,model_answer_01,model_answer_03
AfD,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme nicht zu,[INST:: ] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauer an den Bildschirmen hier daheim oder in der Nähe des Fernsehers – ich weiß es gar nicht mehr; das war vor langer Zeit schon so üblich bei uns – lieber Publikum dort obendrauf am Brandenburger Tor! Heute geht es um einen Gesetzentwurf zur Förderung ökologischer land- und forstenutzender Betriebsgesellschaften sowie zum Schutz ihrer Mitglieder gegenüber Gläubigern aus,"[INST:: ] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Liebe Zuschauer an den Bildschirmen hierzuhause oder draußen vor der Tür – ich weiß es gar niet mehr; das war schon lange her – lieber Herr Minister Altmaier, Sie haben heute wieder einmal sehr eindrucksweise Ihre Unkenntnis des eigenen Ressorts bewiesen sowie auch noch mal deutlich gemacht, dass wir in diesem Haus offensichtlich unterschiedliche Auffassungen über wirtschaftspolitisches Handeln teilen müssen"
LINKE,Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in diesem Hohen Haus sowie alle Zuhörende an den Bildschirmen oder über das Internet – ich danke Ihnen fürs Hörempfinden; es geht um etwas sehr Wichtiges heute auch für Sie. Wir haben uns mit der Agrarpolitik beschäftigt, weil sie so wichtig war bei unserem Klimaschutzgesetz vor zwei Wochen. Heute wollen wir darüber sprechen, ob ökolandwirthschaftliche Betriebe mehr unter","[INST:: ] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum Haushalt für Ernährung und landwirtschaftliche Forschung sowie zur Fördersystemreform – ich möchte mich kurz bei den Mitarbeitern des Ausschusses bedanken; sie haben viel Arbeit gemacht – also, liebe Mitbürgerinnen und Mitbewohner dieses Landes, wir sprechen heute über einen Etat mit einem Volumen von rund sieben Milliarden Euro. Das klingt erst mal gut aus, aber wenn man sich gen"
SPD,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,"constante_anwesend"" id=""constanze-bahr"">Constance Bähr hat recht – wir müssen unsere Arbeit in diesem Bereich weiter intensivieren; denn der Kampf gegen rechte Extreme wird immer wichtiger für unser Land. Deshalb bin ich froh darüber, dass sich auch hier so viele Menschen engagiert haben wollen. Ich habe mich heute Morgen bei den Beratungen zum Haushalt sehr überzeugt davon, was das Ministerium dafür tun kann. Wir werden mit dem Bundesprogramm „Rechtsterrorismusbekämpfung“ weitere Mittel zur",constellation-award / constitutional law project right to life and human dignity for all citizens of the world united nations universal declaration on bioethics and human rights education as a means of preventing violence against women in politics gender equality act protection from sexual harassment at workplace equal pay audit commission children's day international child abduction convention intergovernmental organization anti money laundering directive gambling regulation eu data privacy framework european union consumer credit directives financial services policy bankruptcy reform insolvenzreform digitalization energy transition climate change renewable energies
Union,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,"constellation-verlag.de (CC BY)
Wenn Sie das Bild sehen wollen, klicken Sie hier!
Zitat des Redners aus der Debatte am 3. November 2027 in den Deutschen Bundestagsprotokollinformationen - Drucksache / Anlage zum TOP; abgerufen am 4. Februar 2028 um 9 Uhr – Punkt 6 – Stichworte ""Rechtsterror"" sowie ""Antisemitismus"", Seite 1 vom Originaldokument abgelesene Passage beginnt mit dem","constante_anwesend"" id=""constante-anwesend"">Stelle deinen Wunsch zur Stimmenentscheidung hier einzutragen (optional): Ja Nein Nicht entscheidbar Ich stimmiere abwarts Entferne diese Zeile wenn keine Stimmabgabe erforderlich wird. Bitte gib einen kurzen Grund für den Befund an; der erscheint dann unter dem Namen des Beitrags in dieser Vorlage. Für mehr Information über das Vorgehen mit Daten aus diesem Formular klicke bitte darauf! In Kürze werden wir I"
GRÜNE,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,"constante_anwesend"" id=""constanze-glaurisch"">Constance Glauer hat recht – wir müssen unsere Arbeit in der Verhinderung rechter Gewalt fortsetzen; denn das Problem bleibt bestehen. Wir haben es gerade bei den Anschlägen am Breitscheidplatz erlebt sowie beim Mord an Walter Lübcke oder auch dem Brandanschlag hier vor diesem Haus letzte Woche gezeigt bekommen. Deshalb brauchten wir diese Debatte heute noch mehr denn je! Es geht um Menschenleben, aber eben insbesondere dar","[inst] Frau Präsidentin! Meine Damen und Herren Kolleginnen und -kollegen der demokratischen Opposition – ich möchte Sie bitten, Ihre Interventionen kurzzuhalten; das kann man hier sehr gut hören. Ich bin froh darüber, dass wir heute über dieses wichtige Gesetz sprechen können. Wir haben es uns zur Aufgabe gemacht, den Kampf gegen rechtsradikale Straftaten in Deutschland voranzutrieben und damit auch unser Land insgesamt sicherer für alle Bürger/-innen werden lassen wollen. Deshalb setzen wir"
FDP,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,"constante_anwesend"" id=""constantes-anzug"">Stelle deinen Wunsch an! Wir haben keine passenden Anzüge in dieser Größe verfügbar; bitte wähle einen anderen Standardgrösse aus der Dropdownliste oder gib sie einzeln vor dem Bestellen des Artikels angeben (Standardmaßangaben). Bitte beachten Sie auch unsere Haftungserklärungen für den Einkauf mit PayPal Credit Card & Kreditzahlungsplan., Herr Präsident! Mein lieber Kollege Brandner hat es",[INST:: ] Sehr geehrte Frau Präsidentin! Meine lieben Kolleginnen und Kollegen der demokratischen Parteien hier in diesem Haus – ich meide jegliche Einordnung des anderen Lagers; das wäre unangebracht für diese wichtige Debatte über den Kampf dagegen rechtsterroristischen Extremen Stellungnahmen nehmen wollen wir unsere Verantwortlichkeiten gegenüber dieser Demokatie vor Augen führend ausüben. Wir haben es mit einem sehr ernsten Problem zu tun. Es gibt keine andere Gefahr oder Bedrohung innerhalb Deutschlands
AfD,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesparlaments! Wir sprechen heute über den Gesetzentwurf zur Förderung der Bekämpfungsmaßnahmen gegenüber rechtsterroristischen Straftaten – kurz „Anti-Rechtsex“ genannt; ich werde das auch so nennen. Ich möchte mich zunächst bei allen bedanken für ihre Arbeit in diesem Bereich. Es geht um einen wichtigen Punkt unseres Staates mit Blick darauf, dass wir unsere Bürger vor Bedrohungen","[Inst] Frau Präsidentin! Meine Damen und Herren Kollegen aus den anderen Fraktionen des Deutschen Bundestages – ich möchte Sie bitten um Verständnis dafür, dass meinen Redeblock heute der Bundeskanzlers-Antrag zur Bekämpfung rechtsterroristischen Extrems in Deutschland vorausgeht; das war ja auch so vereinbart zwischen uns. Ich habe also keine Zeit mehr für einen eigenen Beitrag zum Terrordebakel dieser Regierung. Aber es gibt noch etwas anderes sehr Wichtiges dazu anzusprechen. Es geht"
LINKE,Der Bund soll Projekte gegen Rechtsextremismus verstärkt fördern.,stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum Gesetzentwurf zur Strafbarkeit des Besitzes gewaltsam erlangter Daten sowie zur Änderung weiterer Vorschriften zum Schutz personeller Informationen – das klingt sehr technisch; aber es geht um etwas ganz Wichtiges für unsere Demokratie. Wir haben gerade gehört, dass wir einen Angriff mitten aus dem Parlament hatten. Das zeigt noch einmal deutlich den Bedarf an einem solchen Sicherheitsges",[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen der demokratischen Fraktionen des Hauses! Ich bin froh darüber – das muss ich sagen; denn es gibt ja auch andere Ansichten in diesem Hause über diese Anträge zur Bekämpfung rechtsterroristischen Extrems - dass wir heute endlich einen Beschluss vornehmen können zum Schutz unserer Demokrasie gegenüber den Bedrohungsszenarien durch rechtsradikale Gewaltgruppen mit ihrem Terrorpotenzial für unsere Gesellschaft insgesamt sowie
SPD,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme zu,"![](/api/weiterleitung) Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen in den anderen Parlamentsgebäuden sowie hier vor Ort an diesem Pult! Liebe Zuhörende aus dem In- as well as Outside Parliament – ich freue mich über Ihre Anwesenheit heute; das zeigt ja auch wieder einmal deutlich meinen Wert für Sie alle. Ich bin froh darüber, dass wir uns noch mal mit einem wichtigen Gesetzentwürfen beschäftigt haben können, nämlich zum CSR Due Dilligence Act","[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Habeck – ich freue mich sehr über Ihre Anwesenheit heute hier am Rednerpult; es war mir wichtig für diesen Gesetzentwurf an dieser Stelle vorzusprechen. Meinen Dank dafür auch noch mal ausdrücklich! Ich bin froh darüber, dass wir uns in diesem Haus darauf verständigen können, das Leitprincip „Respect“ umsetzen wollen mit dem heutigen Vorschlag zur Verpflicht"
Union,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme nicht zu,constante vigileance est de rigueur! Vous devriez vérifier les conditions d'embauche et la qualité professionnelle pour que votre entreprise fonctionne correctement; il en va ainsi dans le monde entier. Il n’y a pas à sourciller sur ce sujet car cela concerne l’image globale de notre pays – je parle évidemment de France - mais également nos entreprises qui ont besoin de se démarquer positivement au niveau international. Je suis donc partisan de cette proposition de loi visant à renforcer,"[_ Kontinuierliche Überprüfungen für Lieferketten werden notwendig sein.] (Stand vom Februar) Der Deutsche Industrie- und Handelskammertagspräsident Oliver Winzenried hat dazu Stellung genommen; er sagt aber auch – ich zitiere mit Erlaubnis dieses Plenum aus dem „Handelsblatt“ am Montagnachmittag desselben Monats - dass es in den letzten Jahren bereits umfassende Maßnahmen geben sollte, sich diese nun jedoch aufgrund unzureichender Durchsetzung durchgesetzt haben sollten oder vielleicht gar"
GRÜNE,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme zu,"constante Vigilance in Bezug darauf, dass unsere Liefernetzwerke sicherer werden – das war immer mein Anliegen; denn wir brauchen einen Energiewandel ohne Lücken für alle Bürgerinnen und Bürger unserem Land gerade jetzt angegangen haben den Weg zum Klimaschutz anzutreten. Wir wollen ihn mit vollem Tempo vorantreiben. Deshalb bin ich froh darüber, wenn auch andere hier dies teilen oder es tun können. Aber um diesen Wettbewerb zwischen verschiedenen Modellen durchführbar machen zu","constante Vigilance in Bezug auf den Schutz umfassender Nachverfolgungsregelungen für deutsche Investitionskonzerne angewiesen haben; denn nur so können wir sicherstellen, dass auch langfristige negative Auswirkungen unserem Land erspart bleiben – das gilt insbesondere dann, wenn es darum geht, klimaschädliche Aktivitäten anderer Länder einzudämmen oder gar auszubauken. Es gibt bereits Vorschläge zur Erhöhung dieser Kontrollmöglichkeiten durch gesetzgeberisches Handeln."
FDP,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme nicht zu,"![](/images/Friedrich_Merz_.jpg) Herr Präsident! Meine Damen und Herren Kollegen! Liebe Zuhörende hier in diesem Saal oder an den Bildschirmen da draußen am Fernseher – ich bin mir sicher davon überzeugt; das haben wir ja gerade gehört -, lieber Minister Altmaier, Sie wollen mit Ihrem Gesetzentwurf einen Beitrag zur Stärkung unseres Wirtschaftsstandort Deutschland leisten. Ich finde es gut so, dass man darüber nachdenken kann, ob","[INST"" /> Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das muss ich sagen; denn es gibt ja immer verschiedene Meinungen in diesem Haus über dieses wichtige Gesetzespaket für den Wirtschaftsstandort Deutschland sowie auch Europa insgesamt – dass wir heute endlich mit dem Beschluss zur zweiten Säule unseres Unternehmensklimaschutzgesetzes vorankommen können. Es geht um drei Dinge hierbei zum einen: Wir wollen mehr Investitionssicherheit sicherst"
AfD,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den anderen Parlamentsfraktionen – ich meide das Adjektiv „demokratischen“; es gibt ja auch andere Gruppierungen hier in diesem Haus mit dem Namen Demokratisch oder ähnlichem Titel -! Ich bin froh darüber, dass wir heute über dieses wichtige Gesetz sprechen können, nämlich zum Schutz unserer Wirtschaft vor unfairen Konkurrentinnen und Konkurenten untereinander sowie gegen unsere eigenen Regelverletzungs-Z","[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den anderen Parlamentsfraktionen – ich meide das Adjektiv „demokratischen“; denn es gibt in diesem Hause ja auch andere Gruppen mit dem Namen Demokraten oder so ähnlich – liebe Gäste hier obendrauf anwesende Leute vor Ort sowie alle Zuhälter draußen am Bildschirm! Lieber Herr Minister Altmaier hat gerade gesagt, dass er sich für mehr Transparenz beim Wirtschaftswachstum engagieren"
LINKE,Unternehmen sollen weiterhin die Einhaltung der Menschenrechte und des Umweltschutzes bei allen Zulieferern kontrollieren müssen.,stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in diesem Hohen Haus sowie alle Zuhörende an den Bildschirmen oder über das Internet – ich danke Ihnen fürs Hören; es freut mich sehr viel Neues darüber gelernt haben können. Ich bin froh, dass wir heute diese Debatte führen dürfen zum Gesetzentwurf zur Verbesserungen beim Due-dilligence-Anspruch nach §§ 839a ff., StGB (Nachweispflicht). Es","[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kolleginnen und Kollegen aus den anderen Parlamentsfraktionen – ich freue mich immer über das Interesse an unserem Wahlkreis Ostdeutschland mit dem Schwerpunkt Sachsen-Anhalt; es gibt auch andere interessante Regionen in Deutschland – aber natürlich bin ich besonders stolz darauf, dass wir heute hier darüber sprechen können, was unsere Heimat bedeutet für viele Leute außerhalb Deutschlands sowie innerhalb dieses Landes. Ich finde diese Debatte sehr wichtig angesichts neuer"
SPD,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen in den anderen Parlamentsgebäuden sowie hier vor Ort an diesem Pult! Ich bin sehr froh darüber – das mache ich auch gerne öffentlich deutlich; denn es gibt viele Menschen draußen bei uns daheim oder sogar noch viel näher dran beim Studieren, denen diese Debatte wichtiger sein kann als mir selbst – dass wir heute über dieses zentrale Bildungsprogramm sprechen können. Es geht um Gerechtigkeiten für alle Schülerinnen und Schulsch","constante_anwesende Person in diesem Raum; das kann ich Ihnen versichern! Ich bin jetzt seit fast neun Jahren Mitglied des Deutschen Bundestages – davon zwei Jahre für mich persönlich sehr wichtige Zeit mit meiner Familie verbracht hier an dieser Stelle am Platz zwischen den beiden Präsidentinnen Dr. Nüßlein-Hagenauer sowie Frau Schäfering aus dem Haushaltspolitischen Berichterstatterkreis unserer Partei, also auch schon einige Erfahrungen bei Verhandlungen gesammelt habe. Wir haben uns heute wieder einmal über dieses wunder"
Union,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,"[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Heilmann – ich habe Sie jetzt schon öfters angesprochen; das wird sich noch geben müssen – sowie alle anderen Damen und Herren hier in diesem Hohen Haus! Ich freue mich sehr über diese Debatte zum Bundesausbildungssicherungsgesetz oder kurz „BAfo“, so genannt aus Gründen des Zeitmangels bei den Rednern heute Morgen. Wir haben es uns zur Aufgabe gemacht, dieses Gespräch mit Ihnen wieder anzuf","[Inst] Herr Präsident! Mein sehr geehrte Kolleginnen und Kollegen aus den demokratischen Parteien hier in diesem Haus – ich meide jegliche Einordnung des anderen Lagers; das wäre ja auch falsch gewesen -: Wir haben uns heute mit einem wichtigen Gesetzgebungsvorhaben beschäftigt, nämlich zur Verbesserung unseres Bildungssystems durch Erleichterungen für junge Menschen bei ihrem Studium oder ihre beruflichen Aufgabenstellungen anzunehmen sowie Fördersätze beim Bundesausbildungsfoerdern (BA"
GRÜNE,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,"[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen hier in diesem Haus sowie alle Zuhörende an den Bildschirmen oder über das Radio – ich danke Ihnen fürs Hören; es freut mich sehr viel mehr Menschen da draußen noch höre können wollen. Ich bin froh darüber, dass wir heute diese Debatte führen dürfen zum wichtigen Gesetzentwurf zur Reform des Bundesausbildungssicherungsgesetzes mit dem Schwerpunkt „BAfÖG“. Wir haben uns seit Beginn dieser","[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das mache ich auch gerne öffentlich kund; denn es gibt ja immer wieder Kritik an unserem Bildungssystem in Deutschland – dass wir hier über den Zuschuss zum Bundesauszubildenden- oder Hochschulzugangsprogramm sprechen können mit dem Ziel, dieses wichtige Programm für soziale Teilbarkeit bei Studierende aus finanziell schwachen Haushalten dauerhaft sichern sowie seine Leistungen verbessert"
FDP,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Ich bin froh darüber – das muss ich sagen; denn es gibt ja immer wieder Diskussionen über den Sinn des Bildes in unserem Land oder ob wir unsere Schulden noch einmal erhöhen sollen usw., um dann am Ende nur einen kleinen Teil davon für dieses wichtige Projekt zur Verfügung stellen zu können – dass sich heute alle hier mit dem Ziel verständigen konnten, mehr Geld dafür bereitzustellen. Das war mir sehr wert","[inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Heilmann – ich habe Ihnen ja schon bei meiner letzten Intervention gesagt, dass wir uns sehr freuen darüber; das war aber vorher gemeint für den Bundeskanzler Scholz in seiner Regierungserklärung am Dienstagnachmittag hier an diesem Pult. Meinen Sie etwa auch noch einen Satz dazu beitragen müssen oder kann man davon ausgehen dürfen, es sei nur so unbedingt notwendige Formulierung gewesen? Vielleicht können"
AfD,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundestages – mit einem kleinen Unterschied zur letzten Sitzungswoche; ich bin jetzt wieder dafür zuständig für das Bildungspolitik-Thema in meiner Partei. Ich freue mich auch sehr über diese Rückkehr nach dem kurzen Gastaufenthalt bei unserem Koalitionskollegium CDU/CSU hier am Rednerpult. Es geht heute um den Haushalt für Arbeit und Soziales sowie einen Teilbereich aus diesem Bereich, nä",[INST] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen aus den demokratischen Fraktionen des Deutschen Bundestages – ich meide es bewusste absichtlich mit Ihnen anzureden; das wird sich noch zeigen – liebe Zuschauerinnen und -zuhörende in Deutschland sowie weltweit vor allen Dingen bei YouTube-Kanal „Die Ampel“! Es geht heute um einen Gesetzentwurf zur Weiterführung bestimmter Regeln zum Bundesausbildungsfoersorgegesetze nach Inkraft
LINKE,Die Ausbildungsförderung BAföG soll weiterhin abhängig vom Einkommen der Eltern gezahlt werden.,stimme nicht zu,"[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in diesem Hause – ich mache das jetzt zum dritten Mal; es geht immer wieder um dasselbe Problem mit dem Bildungsgeld für Studierende aus finanziell schwachen Familien oder gar ohne Familie – also bitten Sie mich doch mal an dieser Stelle noch einmal darum, meinen Satz durchzusetzen. Ich habe ihn schon zweimal gesagt. Es gibt einen Unterschied zwischen denjenigen Studentinnen undStudenten, deren Elter(inn)schaft überhaupt","[inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in diesem Hause sowie alle Zuhörende an den Bildschirmen des Parlamentsfernsehens – das war ja noch gar keine Selbstverständlichkeit vor kurzem; ich freue mich sehr darüber – oder auch nur über unsere Liveticker am Smartphone! Ich mache mir Sorgen um diese Generation jüngerer Menschen bei unserem heutigen Gesetzgebenden Verfahren mit dem Haushalt für dieses Jahr. Es geht heute wieder einmal ums Geld, aber es gibt einen Unter"
SPD,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme nicht zu,![](/images/Abkürzungenbeantragen_DEUFRAGE) Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen in der Debatte heute zum Vorschlag zur Reform des Investitionsablaufsrechts sowie zur Änderung weiterer Gesetze aufgrund dieser Neuregelungsbedarfe durch den Brexit-Prozess – ich habe es gerade noch mal gesagt; das war meiner Ansicht nach sehr wichtig für diese Diskussion hier am Anfang vorweggestellt worden - lieber Herr Dröge. Ich m,"[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen der demokratischen Opposition – ich meinte das so ernüchternd; aber es stimmt ja auch schon -! Ich möchte mich zunächst bei denjenigen bedanken, deren Anträge wir heute beraten haben oder überhaupt diskutieren können. Es war sehr angenehm mit Ihnen gemeinsam an diesen Debatten teilzunehmen. Das hat mir viel Freude gemacht; denn in dieser Woche hatten viele unsere Gedankenkräfte für andere D"
Union,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,"[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Meinen Dank für das Vertrauen der Wähler in meiner Heimatregion Ostwestfalensüd-Lippe; ich werde es mir zur Aufgabe machen, dieses Mandat auch verdient auszuüben – mit aller Kraft dafür sorgen, dass wir den Menschen hier vor Ort gerecht geworden sein können. Ich möchte mich zunächst bei allen Mitstreitern bedanken, insbesondere beim Koalitionspartner SPD sowie dem Bündnisgr","![](/images/Abkürzungen_DEU) Vielen Dank für diese Möglichkeit der Auskunftnahme! – Herr Präsident! Mein sehr geehrte Kolleginnen und Kollegen aus den demokratischen Oppositionsfraktionen haben uns heute wieder einen Vorschlag unterbreitet zur Änderung des §3 Absatz 4 Sätze 6 GG mit Blick darauf vorgelegt; ich zitiere mal kurz daraus „die ... Schuldensystematik in unserem Land“ umzugestalten sowie das Ziel anzugreifen, dass"
GRÜNE,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme nicht zu,[Inst] Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und lieber Kollegen! Wir haben heute einen Gesetze zur Stärkung der Wettbewerbsfähigkeit in Deutschland vorliegen – das klingt gut; aber es gibt auch einige Schwächen daran. Ich möchte mich zunächst mit den positiven Aspekten beschäftigen. Es geht um mehr Investitionssicherheit für Unternehmen durch verbesserter Planungs- und Genehmigungsverfahren sowie Verbessern des Zugangs zum Kapitalmarkt dank neuer Instrumente bei An,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen! Ich bin froh darüber – das möchte ich hier noch einmal betonen; denn es gibt immer wieder falsche Informationen in der Öffentlichkeit dazu - dass wir Grünen für den Erhalt des Haushaltsvorsorgegesetztes verantwortlich zeichnen wollen oder sogar fordern. Das stimmt überhaupt gar keine. Wir haben diesen Vorschlag eingebracht mit dem Ziel, einen Ausgleich zwischen kürzungsbedingten Einbußen"
FDP,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,"![](/images/Friedrichs_Liberale-Logo) Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen der demokratischen Opposition! Liebe Zuhörende hier in diesem Raum oder auch draußen an den Bildschirmen – ich freue mich über jeden einzelnen davon; das macht es ja noch spannender für uns alle zusammen am Ende des Tages. Ich bin sehr froh darüber, dass wir heute diese Debatte führen können zum wichtigen Gesprächspunkt „Schuldensicherung“. Es geht","constante Aussprache des Parlaments vor der Verschuldungserlaubnis für den Bundeshaushalt; das Budgetierungssystem sollte durch einen gesonderten Haushaltsplan ersetzt oder ergänzt werden sowie Regelungen zur Kreditaufnahme mit dem Ziel, dass öffentliche Investitionen effizient finanziert werden können – diese drei Punkte sollen in einem Gesamtpaket umsetzen, was wir unter ""Schuldensouveräneität"" verstehen wollen."" Das war am Montagnachmittag mein Beitrag zum Pl"
AfD,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesgerichts – ich meide den Begriff „Herrn“ aus Respect vor Ihrer weiblichen Mitgliederzahl; das war nur sozusagen fürs Protokoll dafür gedacht - ! Liebe Zuschauer an der Bildschirmfläche oder in diesem Raum hier oben am Rednerpult herumstehend! Ich freue mich sehr über diese Debatte heute zum Jahresbeginning mit dem Titel ""Schuldensicherung"". Es geht um einen Geset",[INST:: ] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen des Deutschen Bundesgerichts – ich meide den Begriff „Herrn“ aus Respect vor dem weiblichen Geschlecht; das war nur sozusagen traditionell - liebe Zuhörende an der Bildschirmkamera oder auch in diesem Raum hier oben links neben mir. Wir sprechen heute über einen Gesetznachfolgeterminus zur Schuldensenkung nach Artikel 38 Absatz 4 Sätze 6a und 7 GG mit einem Zeitraum vom
LINKE,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme nicht zu,"[Inst] Sehr geehrte Frau Präsidentin! Meine Damen und Herren Kollegen hier in der Debatte zum Haushalt für das kommende Jahr sowie zur Finanzverfassung Deutschlands mit dem Ziel des Erlasses dieser Verordnung über den Bundeshaushalt – ich möchte mich kurz darauf konzentrieren; denn es geht um einen Gesamtbetrag an Ausgaben und Einnahmen dieses Staates insgesamt. Ich bin froh darüber, dass wir heute diese wichtige Diskussion führen können. Es gibt viele Punkte dabei, bei denen sich meiner Ansicht","[inst] Frau Präsidentin! Meine Damen und Herren Kollegen aus den demokratischen Lagerungen des Hauses – ich meide das rechte Randfeld; da kann man ja nie sichern, wer dort sitzt oder ob es noch alle hier gibt -, liebe Zuschauerinnen und Liebhaber an der Bildschirmlandschaft vor Ort sowie bei YouTube usw.: Wir befinden uns in einem Land mit extrem niedrigem Wachstum, wo wir seit Jahren keine neuen Investitionsoffensiven mehr sehen können, weil sie durch einen fehlenden"
SPD,Asylsuchende sollen in Deutschland sofort nach ihrer Antragstellung eine Arbeitserlaubnis erhalten.,stimme zu,"constante_anwesendheit = true; // für den Chatbot-Einsatz sorgen
const chatBotName=""Friedrich"";
function getAnswer(question) {
    if (chatBosch === ""SPD"") return answer(""Asylbewerber dürfen ab dem Tag der Einreise einen Arbeitsplatz finden""); } else throw new Error(`Ungültige Partei`);} function answer(textoRespuesta){this.answer= textoResposta;} var userInputs=[];var currentUserIndex=-1!==userinputindex ?","constante_informationssicherung = true; // für den Datenschutz wichtig!
constanze_auskunftssystematik = ""personal"";
var datum = new Date();
datumszeitpunkt = ((((("""" + (""getdate"").split(""/"")[3]) - ""/"".length) * parseInt(""68479"")) / ((parseFloat(""1E+15"", """")-Date.MINORS))).toFixed());
if (!isFinite(datumepochentagszahl)){ var dtsz=[""Mo"",""Di"
